LOINC_NUM,LONG_COMMON_NAME,SHORTNAME,DisplayName,RELATEDNAMES2,SCALE_TYP
32795-7,parvovirus b19 igm ab [units/volume] in serum by immunoassay --2nd specimen,b19v igm sp2 ser ia-acnc,parvovirus b19 igm spec 2 ia qn (s),abs; aby; antby; anti; antibodies; antibody; arbitrary concentration; autoantibodies; autoantibody; b19 virus; b19v; convalescent; eia; elfa; elisa; enzyme immunoassay; fifth disease; iaa; id; immune globulin m; immunoglobulin m; infectious disease; infectiousdisease; meia; microbiology; parvo; parvo virus; parvov; point in time; post immunization; qnt; quan; quant; quantitative; random; second; serum; sp2; spec; sr; suds,Qn
32800-5,neisseria meningitidis serogroups c+w135 ag [presence] in specimen by latex agglutination,n men sg c+w135 ag spec ql la,n. meningitidis c+w135 ag la ql (specimen),antigen; antigens; id; infectious disease; infectiousdisease; lat; latex agglutination; mening; meningid; meningitis; meningo; meningococcal meningitis; meningococcus; microbiology; misc; miscellaneous; n men; n men sg c+w135; n men sg c+w135 ag; n menigitidis; n meningitidis; ordinal; other; point in time; pr; ql; qual; qualitative; random; screen; spec; to be specified in another part of the message; unspecified,Ord
32805-4,variant lymphocytes/leukocytes in bronchial specimen by manual count,variant lymphs nfr bronch manual,variant lymphocytes/leukocytes manual cnt (bronch spec),atypical lymphocytes; bro; hematology/cell counts; leuc; leuk; leukocyte; lkcs; lung; lymp; lymph; lympho; lymphocyte; lymphs; lymphs%; manl; number fraction; percent; point in time; pulmonary; pulmonology; qnt; quan; quant; quantitative; random; reactive lymphocytes; respiratory; variant lymphocytes; variant lymphs; wbc; wbcs; white blood cell; white blood cells,Qn
3282-1,aptt w excess hexagonal phase phospholipid in platelet poor plasma by coagulation assay,aptt hex pl ppp,aptt w excess hexagonal phase phospholipid coag (ppp) [time],activated partial thromboplastin time; aptt; aptt hex pl; clot; clottable; coag; coagulation assay; hematology; heme; hex; hpp; lipid; little(a)ptt; partial thromboplastin time; phoslpd; phospholipids; pl; plas; platelet poor plasma; point in time; ptt; qnt; quan; quant; quantitative; random; staclot la; surf; tilt tube; universallaborders,Qn
32832-8,variant lymphocytes/leukocytes in bronchial specimen,variant lymphs nfr bronch,variant lymphocytes/leukocytes (bronch spec),atypical lymphocytes; bro; hematology/cell counts; leuc; leuk; leukocyte; lkcs; lung; lymp; lymph; lympho; lymphocyte; lymphs; lymphs%; number fraction; percent; point in time; pulmonary; pulmonology; qnt; quan; quant; quantitative; random; reactive lymphocytes; respiratory; variant lymphocytes; variant lymphs; wbc; wbcs; white blood cell; white blood cells,Qn
32834-4,herpes simplex virus 2 igg ab [ratio] in serum --1st specimen/2nd specimen,hsv2 igg 1:2 ser-rto,hsv 2 igg 1st specimen/2nd specimen (s) [ratio],1:2; abs; aby; acute specimen; antby; anti; antibodies; antibody; autoantibodies; autoantibody; convalescent; first; herp splx; herpes simplex virus type 2; herpes simplex virus type ii; hsv; hsv2; id; ii; immune globulin g; immunoglobulin g; infectious disease; infectiousdisease; microbiology; point in time; post immunization; pre immunization; qnt; quan; quant; quantitative; random; ratios; rto; second; serum; sp1; sp2; spec; sr,Qn
32840-1,parvovirus b19 igm ab [ratio] in serum --1st specimen/2nd specimen,b19v igm 1:2 ser-rto,parvovirus b19 igm 1st specimen/2nd specimen (s) [ratio],1:2; abs; aby; acute specimen; antby; anti; antibodies; antibody; autoantibodies; autoantibody; b19 virus; b19v; convalescent; fifth disease; first; id; immune globulin m; immunoglobulin m; infectious disease; infectiousdisease; microbiology; parvo; parvo virus; parvov; point in time; post immunization; pre immunization; qnt; quan; quant; quantitative; random; ratios; rto; second; serum; sp1; sp2; spec; sr,Qn
32845-0,epstein barr virus capsid igg ab [ratio] in serum --1st specimen/2nd specimen,ebv vca igg 1:2 ser-rto,ebv capsid igg 1st specimen/2nd specimen (s) [ratio],1:2; abs; aby; acute specimen; antby; anti; antibodies; antibody; autoantibodies; autoantibody; cap; convalescent; ebv; ebv capsid ab; ebv vca; epstn; first; hhv-4; human herpesvirus 4; id; immune globulin g; immunoglobulin g; infectious disease; infectiousdisease; microbiology; mono; mononucleosis; point in time; post immunization; pre immunization; qnt; quan; quant; quantitative; random; ratios; rto; second; serum; sp1; sp2; spec; sr; vca; viral capsid,Qn
32869-0,tooth space {first tooth space boundary} {second tooth space boundary} measured,space 1st+2nd tooth bound measured,,1st+2nd tooth bound; 2nd; dental; dentistry; length; point in time; qnt; quan; quant; quantitative; random,Qn
32882-3,reason for dental evaluation,reason for dent eval,,assessment; dental; dentistry; eval; finding; findings; h&p; history and physical; nominal; point in time; random; reason for dent eval,Nom
32885-6,identification {tooth} observed,id {tooth} observ,,dental; dentistry; identity or presence; nominal; point in time; random,Nom
32894-8,second interdental papilla boundary [identifier] {tooth},2nd interdent papilla boundary {tooth},,2nd; 2nd interdent papilla boundary; dental; dentistry; identity or presence; nominal; point in time; random,Nom
32900-3,tooth space discrepancy {dental arch} measured,space discr {dent arch} measured,,{dent arch}; dental; dentistry; length; point in time; qnt; quan; quant; quantitative; random,Qn
3290-4,2-oxoisocaproate [mass/volume] in urine,2oxoisocaproate ur-mcnc,2-oxoisocaproate (u) [mass/vol],2-keto-4-methylvalerate; 2-ketoisocaproate; 2-ketoisocaproic acid; 2oxoisocaproate; 2-oxoisocaproic acid; alpha-ketoisocaproate; alpha-ketoisocaproic acid; chemistry; ii; level; mass concentration; point in time; qnt; quan; quant; quantitative; random; ua; ur; urn,Qn
32911-0,recession [length] {tooth}.{probe site} measured,recession tooth measured,,dental; dentistry; length; point in time; qnt; quan; quant; quantitative; random,Qn
32916-9,horizontal overlap [length] maxilla and mandible measured,horiz overlap maxi+mand measured,,dental; dentistry; horiz overlap; jaw; length; mand; maxi+mand; overjet; point in time; qnt; quan; quant; quantitative; random,Qn
32920-1,excursive distance maximum mandible measured,excursive distance max mandible measured,,dental; dentistry; excursive distance max; jaw; largest; length; mand; maximal; maximum; peak; point in time; qnt; quan; quant; quantitative; random,Qn
32925-0,sella-nasion plane to nasion-b point line [angle] skull x-ray measured,snb angle skull xr,,cranial; cranium; dental; dentistry; head; nb; plain films; point in time; qnt; quan; quant; quantitative; random; se-na; s-n; snb; supramentale; xray; x-ray,Qn
32927-6,sella-nasion plane to nasion-b point line [angle] skull digital model.measured,snb angle skull digital,,cranial; cranium; dental; dentistry; head; nb; point in time; qnt; quan; quant; quantitative; random; se-na; s-n; snb; supramentale,Qn
32942-5,maximum intercuspation right midline discrepancy [length] mandible+face measured,mi r-mdl discrepancy measured,,dental; dentistry; jaw; length; mand; mi; mi r-mdl discrepancy; point in time; qnt; quan; quant; quantitative; r; random; rt,Qn
32946-6,sella-nasion plane to nasion-a point line [angle] skull ct measured,sna angle skull ct,,cat scan; computed tomography; computerized tomography; cranial; cranium; ct scan; dental; dentistry; head; na; point in time; qnt; quan; quant; quantitative; random; se-na; s-n; sna; ss; subspinale,Qn
3295-3,acebutolol [mass/time] in 24 hour urine,acebutolol 24h ur-mrate,acebutolol (24h u) [mass/time],1 day; 24 hours; 24hr; acecor; alol; drug/toxicology; drugs; mass rate; monitan; mrate; neptal; prent; qnt; quan; quant; quantitative; rhotral; sectral; ua; ur; urn,Qn
32954-0,root development {tooth} estimated,root devel lenfr {tooth} est,,dental; dentistry; est; estimation; length fraction; percent; point in time; qnt; quan; quant; quantitative; random,Qn
32967-2,root apex development {tooth}.{surface} xr,root apex devel {tooth}.{surface} xr,,dental; dentistry; finding; findings; nominal; plain films; point in time; random; surf; xray; x-ray,Nom
32984-7,retention {dental arch}.denture.partial observed,retention {dent arch}.pd observ,,{dent arch}; {dent arch}.pd; dental; dentistry; impression; impression/interpretation of study; impressions; interp; interpretation; ordinal; point in time; ql; qual; qualitative; random; screen,Ord
3299-5,acetaminophen [presence] in urine,apap ur ql,acetaminophen ql (u),acet; acetamidophenol; acetaminoph; acetominophen; addiction; apap; c209; c55; drug/toxicology; drugs; drugs of abuse; hepatology; hydroxyacetanilide; illicit; liver; n-(4-hydroxyphenyl)acetanilide; n-acetyl-p-aminophenol; ordinal; p-acetamidophenol; paracetamol; p-hydroxyacetanilide; point in time; potentialforabuse; pr; ql; qual; qualitative; random; screen; tylenol; u209; ua; universallaborders; ur; urn,Ord
32996-1,her2 [mass/volume] in serum,her2 ser-mcnc,her2 (s) [mass/vol],c-erbb-2; erb; erb2; erb-2; erbb2; her-2; her-2/neu; level; mass concentration; oncology; pathology; point in time; qnt; quan; quant; quantitative; random; serum; sr,Qn
33000-1,rickettsia spotted fever group igm ab [presence] in serum,rick sf igm ser ql,r. spotted fever group igm ql (s),abs; aby; antby; anti; antibodies; antibody; autoantibodies; autoantibody; id; immune globulin m; immunoglobulin m; infectious disease; infectiousdisease; microbiology; ordinal; point in time; pr; ql; qual; qualitative; random; rick sf; ricket; rickettsial; screen; serum; sr,Ord
33004-3,kelp or seaweed ige ab [units/volume] in serum,kelp/seaweed ige qn,kelp or seaweed ige qn (s),abs; aby; allergen; allergens; allergy testing; antby; anti; antibodies; antibody; arbitrary concentration; autoantibodies; autoantibody; immune globulin e; immunoglobulin e; kelp/seaweed; point in time; qnt; quan; quant; quantitative; random; seaweed; serum; sr,Qn
3301-9,acetazolamide [presence] in urine,acetazolamide ur ql,acetazolamide ql (u),acetadiazol; acetazolam; ak-zol; diamox; drug/toxicology; drugs; ordinal; point in time; pr; ql; qual; qualitative; random; screen; ua; ur; urn,Ord
33026-6,hemoglobin [mass/volume] in arterial cord blood by calculation,hgb bldcoa calc-mcnc,hemoglobin calc (bldcoa) [mass/vol],bld cord; calc; calculation; cord arterial blood; cord blda; haemoglobin; hb; hematology/cell counts; hgb; level; mass concentration; point in time; qnt; quan; quant; quantitative; random,Qn
33029-0,cd3+tcr cells/cells in blood,cd3+tcr cells nfr bld,cd3+tcr cells/cells (bld),blood; cd3 cells; cd3+tcr cells; cell; cell markers; cellularity; leu4; leu-4; number fraction; percent; point in time; qnt; quan; quant; quantitative; random; t3; wb; whole blood,Qn
33033-2,cd45 positive events [#] in specimen,cd45 pos events spec,cd45 positive events (specimen) [#],b220; cd45 pos events; cd45r; cd45ra; cd45rb; cd45rc; cd45ro; cell markers; cnt; count; lca; leukocyte common antigen; ly5; misc; miscellaneous; number; other; point in time; pos; qnt; quan; quant; quantitative; random; spec; t200; to be specified in another part of the message; unspecified,Qn
3303-5,acetazolamide [mass/time] in 24 hour urine,acetazolamide 24h ur-mrate,acetazolamide (24h u) [mass/time],1 day; 24 hours; 24hr; acetadiazol; acetazolam; ak-zol; diamox; drug/toxicology; drugs; mass rate; mrate; qnt; quan; quant; quantitative; ua; ur; urn,Qn
33040-7,hypnotics [presence] in serum or plasma by screen method,hypnotics serpl ql scn,hypnotics screen ql,drug/toxicology; drugs; ordinal; pl; plasma; plsm; point in time; pr; ql; qual; qualitative; random; scn; scr; screen; scrn; serp; serpl; serplas; serum; serum or plasma; sr,Ord
33049-8,hypertonic cryohemolysis of red blood cells,cht nfr rbc,hypertonic cryohemolysis (rbc),cht; erythrocytes; hematology/cell counts; hereditary spherocytosis; number fraction; percent; point in time; qnt; quan; quant; quantitative; random; red blood cells; red blood corpusles,Qn
33053-0,protoporphyrin [molar ratio] in red blood cells,protopor rbc-srto,protoporphyrin (rbc) [molar ratio],chemistry; dicarboxyl porphyrin; dicarboxylporphyrin; erythrocytes; hematology; heme; point in time; protoporph; protoporphrn; protoporphyrins; qnt; quan; quant; quantitative; random; red blood cells; red blood corpusles; scrto; substance concentration ratio; substance ratio,Qn
33058-9,ketones [mass/volume] in serum or plasma,ketones serpl-mcnc,ketones [mass/vol],acetest; acetoacetate; acetoacetates; acetone bodies; chemistry; ketone; ketone bodies; level; mass concentration; pl; plasma; plsm; point in time; qnt; quan; quant; quantitative; random; serp; serpl; serplas; serum; serum or plasma; sr; universallaborders,Qn
33080-3,gestational age estimated from biparietal diameter on us by lessoway 1998 method,ga from bpd.lessoway98,,98; biparietal diameter; echography; est; estimation; fetal; from bpd.lessoway98; ga; gest; gestation; gyn; gynecology; ob; obgyn; obsterical; obsterical.ultrasound; obstetrical; obstetrics; point in time; predicted; prenatal; qnt; quan; quant; quantitative; random; sonogram; sonograph; sonography; uls; ultrasound,Qn
33088-6,gestational age estimated from clavicle length by method of yarkoni 1985 (us),ga from cl.yarkoni85,,85; cl; echography; est; estimation; fetal; from cl.yarkoni85; ga; gest; gestation; gyn; gynecology; ob; obgyn; obsterical; obsterical.ultrasound; obstetrical; obstetrics; point in time; predicted; prenatal; qnt; quan; quant; quantitative; random; sonogram; sonograph; sonography; uls; ultrasound; us+est,Qn
33099-3,gestational age estimated from femur length on us by jeanty 1982 method,ga from fl.jeanty82,,82; echography; est; estimation; femur length; fetal; from fl.jeanty82; ga; gest; gestation; gyn; gynecology; ob; obgyn; obsterical; obsterical.ultrasound; obstetrical; obstetrics; point in time; predicted; prenatal; qnt; quan; quant; quantitative; random; sonogram; sonograph; sonography; uls; ultrasound,Qn
33-1,ampicillin+sulbactam [susceptibility] by disk diffusion (kb),ampicillin+sulbac islt kb,ampicillin+sulbactam disk diffusion (kb) [susc],amcil; amicil; amp; ampicilloyl; antibiotic susceptibilities; ast; c203; c5; disk diffusion; id; infectious disease; infectiousdisease; islt; isol; kb; kirby-bauer; omnipen; penbritin; point in time; polycillin; random; sulb; sulbact; sus; suscept; susceptibilities; susceptibility; susceptibilty; unasyn,OrdQn
33123-1,gestational age estimated from inter ocular distance on us by trout 1994 method,ga from iod.trout94,,94; echography; est; estimation; fetal; from iod.trout94; ga; gest; gestation; gyn; gynecology; inter ocular distance; inter orbital diameter; ob; obgyn; obsterical; obsterical.ultrasound; obstetrical; obstetrics; point in time; predicted; prenatal; qnt; quan; quant; quantitative; random; sonogram; sonograph; sonography; uls; ultrasound,Qn
33141-3,fetal weight estimated by method of shinozuka formula 1 1996 (us),fet weight from shinozuka96 1,,96; bdy weight; bod; bodies; echography; efw; est; estimated fetal weight; estimation; fetal; from shinozuka96 1; gyn; gynecology; ob; obgyn; obsterical; obsterical.ultrasound; obstetrical; obstetrics; point in time; predicted; qnt; quan; quant; quantitative; random; sonogram; sonograph; sonography; uls; ultrasound; us+est; wt,Qn
33147-0,fetal abdomen circumference measured by method of chitty 1994 (us),fet abd circum by chitty94,,94; abd; abd^fetus; abd+fetus; abdo; abdomen+; abdominal; abdominal circumference; abdominal circumference from gestational age; ac; ac by ga; by chitty94; circum; circumference; echography; fetal; gyn; gynecology; length; ob; obgyn; obsterical; obsterical.ultrasound; obstetrical; obstetrics; point in time; qnt; quan; quant; quantitative; random; sonogram; sonograph; sonography; uls; ultrasound; us+meas,Qn
33150-4,fetal abdomen diameter product estimated from gestational age by method of shinozuka 1996 (us),fet abd diam prod from ga.shinozuka96,,96; abd; abd^fetus; abd+fetus; abdo; abdomen+; abdominal; dia; diam; diam prod; echography; est; estimation; fetal; from ga.shinozuka96; gyn; gynecology; length; ob; obgyn; obsterical; obsterical.ultrasound; obstetrical; obstetrics; point in time; predicted; qnt; quan; quant; quantitative; random; sonogram; sonograph; sonography; uls; ultrasound; us+est,Qn
33153-8,fetal head diameter.biparietal estimated from gestational age by method of jeanty 1982 (us),fet bpd from ga.jeanty82,,82; bpd; bpd by ga; bpd predicted from gestational age; brain; cranial; cranium; dia; diam; echoencephalogram; echoencephalography; echography; est; estimation; fetal; from ga.jeanty82; gyn; gynecology; intracranial; length; ob; obgyn; obsterical; obsterical.ultrasound; obstetrical; obstetrics; point in time; predicted; qnt; quan; quant; quantitative; random; skull; sonogram; sonograph; sonography; uls; ultrasound; us+est,Qn
33155-3,fetal head diameter.biparietal estimated from gestational age by method of rempen 1991 (us),fet bpd from ga.rempen91,,91; bpd; bpd by ga; bpd predicted from gestational age; brain; cranial; cranium; dia; diam; echoencephalogram; echoencephalography; echography; est; estimation; fetal; from ga.rempen91; gyn; gynecology; intracranial; length; ob; obgyn; obsterical; obsterical.ultrasound; obstetrical; obstetrics; point in time; predicted; qnt; quan; quant; quantitative; random; skull; sonogram; sonograph; sonography; uls; ultrasound; us+est,Qn
33156-1,fetal head diameter.biparietal estimated from gestational age by method of shinozuka 1996 (us),fet bpd from ga.shinozuka96,,96; bpd; bpd by ga; bpd predicted from gestational age; brain; cranial; cranium; dia; diam; echoencephalogram; echoencephalography; echography; est; estimation; fetal; from ga.shinozuka96; gyn; gynecology; intracranial; length; ob; obgyn; obsterical; obsterical.ultrasound; obstetrical; obstetrics; point in time; predicted; qnt; quan; quant; quantitative; random; skull; sonogram; sonograph; sonography; uls; ultrasound; us+est,Qn
33174-4,fetal head circumference estimated from gestational age by method of chitty 1994 (us),fet head circum from ga.chitty94,,94; brain; circum; circumference; cranial; cranium; echoencephalogram; echoencephalography; echography; est; estimation; fetal; from ga.chitty94; gyn; gynecology; hc; hc by ga; hc(ga); head circumference; head circumference from gestational age; intracranial; length; ob; obgyn; obsterical; obsterical.ultrasound; obstetrical; obstetrics; point in time; predicted; qnt; quan; quant; quantitative; random; skull; sonogram; sonograph; sonography; uls; ultrasound; us+est,Qn
33188-4,fetal body weight growth percentile by method of arbuckle 1993 female twins (us),fwp by arbuckle93 female twins,,93; bdy weight; bdy weight growth prctl; bod; bodies; bwp; by arbuckle93 female twins; echography; efw; est; estimated fetal weight; estimation; fetal; fwp; gyn; gynecology; ob; obgyn; obsterical; obsterical.ultrasound; obstetrical; obstetrics; percentile; point in time; predicted; qnt; quan; quant; quantitative; random; sonogram; sonograph; sonography; uls; ultrasound; us+est; wt,Qn
331-9,mezlocillin [susceptibility] by minimum inhibitory concentration (mic),mezlocillin islt mic,mezlocillin mic [susc],antibiotic susceptibilities; ast; baypen; id; infectious disease; infectiousdisease; islt; isol; mezlin; minimum inhibitory concentration; optocillin; point in time; random; sus; suscept; susceptibilities; susceptibility; susceptibilty,OrdQn
33212-2,n-acetyl-l-aspartate [mass/volume] in body fluid,n-ac-l-asp fld-mcnc,n-acetyl-l-aspartate (body fld) [mass/vol],"asp; aspartic acid; b/f; bf; bod; bodies; body fluid; body fluid, unsp; chemistry; fl; fld; flu; fluid; left; level; levo; mass concentration; naa; n-ac-l-asp; point in time; qnt; quan; quant; quantitative; random",Qn
33216-3,platelets agranular [presence] in blood by light microscopy,agran platelets bld ql smear,platelets agranular lm ql (bld),agran platelets; agranulated platelets; blood; hematology/cell counts; lm; micro; micros; microscopic; ordinal; platelet; platelet adequacy; platelet estimate; platelt; plt; point in time; pr; ql; qual; qualitative; random; screen; thrb; thrombocyte; thrombocytes; wb; whole blood,Ord
3321-7,amikacin [mass/volume] in serum or plasma --trough,amikacin trough serpl-mcnc,amikacin trough [mass/vol],amikin; aminoglycosides; drug/toxicology; drugs; id; infectious disease; infectiousdisease; level; mass concentration; pl; plasma; plsm; point in time; pre; predose; pre-dose; qnt; quan; quant; quantitative; random; serp; serpl; serplas; serum; serum or plasma; sr; universallaborders,Qn
33231-2,fatty casts [#/area] in urine by computer assisted method,fatty casts #/area ur comp assist,fatty casts computer assisted (u) [#/area],#/area; artificial intelligence; automated detection; cast; comp assist; kidney; nephrology; number areic; point in time; qnt; quan; quant; quantitative; random; renal; ua; ur; urinalysis; urn,Qn
33232-0,spermatozoa [presence] in urine by automated,sperm ur ql auto,spermatozoa auto ql (u),auto; automated detection; elec; elect; electr; ordinal; point in time; pr; ql; qual; qualitative; random; screen; sperm; ua; ur; urinalysis; urn,Ord
33234-6,calcium oxalate crystals [presence] in urine by computer assisted method,caox cry ur ql comp assist,calcium oxalate crystals computer assisted ql (u),artificial intelligence; automated detection; ca; cac2o4; cal; caox; caox cry; comp assist; crys; cryst; crystal; ethanedioate; ethanedioic acid; ordinal; oxal; oxalic acid; point in time; pr; ql; qual; qualitative; random; screen; ua; ur; urinalysis; urn,Ord
33256-9,leukocytes [#/volume] corrected for nucleated erythrocytes in blood by automated count,wbc nrbc cor # bld auto,wbc corrected for nucl rbc auto (bld) [#/vol],#; abs; absolute; absolutes; auto; automated detection; blood; cnt; count; count/volume; ct; discocytes; elec; elect; electr; erthrocyte; erythrocyte; hematology/cell counts; leuc; leuk; leukocyte; lkcs; nrbc cor; nuc; number concentration; number concentration (count/vol); point in time; qnt; quan; quant; quantitative; random; rbc; rbcs; red blood cell; red blood cells; red blood corpuscle; red blood corpusles; red cell; red cells; wb; wbc; wbcs; white blood cell; white blood cells; whole blood,Qn
33265-0,toxoplasma gondii iga ab [units/volume] in cerebral spinal fluid,t gondii iga csf-acnc,t. gondii iga qn (csf),abs; aby; antby; anti; antibodies; antibody; arbitrary concentration; autoantibodies; autoantibody; cerebral spinal fluid; cerebrospinal fl; id; immune globulin a; immunoglobulin a; infectious disease; infectiousdisease; microbiology; neuro; neurology; point in time; qnt; quan; quant; quantitative; random; spinal fl; spinal fld; spinal flu; spinal fluid; t gondii; toxo; toxoplasmosis,Qn
33269-2,thyrotropin [units/volume] in serum or plasma --pre dose trh,tsh pre trh serpl-acnc,tsh pre dose trh qn,arbitrary concentration; before; chemistry.challenge testing; endocrine; endocrinology; pl; plasma; plsm; point in time; pre trh; qnt; quan; quant; quantitative; random; serp; serpl; serplas; serum; serum or plasma; sr; thyroid stimulating hormone; thyrotropic hormone; tsh,Qn
33275-9,7-dehydrocholesterol [mass/volume] in serum or plasma,7-dhc serpl-mcnc,7-dehydrocholesterol [mass/vol],7-dhc; chemistry; level; mass concentration; pl; plasma; plsm; point in time; qnt; quan; quant; quantitative; random; serp; serpl; serplas; serum; serum or plasma; sr,Qn
33300-5,naproxen [presence] in urine by screen method,naproxen ur ql scn,naproxen screen ql (u),anaprox; c228; c283; drug/toxicology; drugs; ordinal; point in time; pr; ql; qual; qualitative; random; scn; scr; screen; scrn; ua; ur; urn,Ord
33308-8,phosphatidylethanolamine ab [presence] in serum,pe ab ser ql,phosphatidylethanolamine ab ql (s),abs; aby; antby; anti; antibodies; antibody; ape; autoantibodies; autoantibody; coagulation; hematology; heme; ordinal; pe; phosphatidyl ethanolamine; point in time; pr; ql; qual; qualitative; random; screen; serum; sr,Ord
33311-2,porphyrins [moles/volume] in serum or plasma,porphyrins serpl-scnc,porphyrins [moles/vol],chemistry; hematology; heme; level; pl; plasma; plsm; point in time; porph; porphyrin; qnt; quan; quant; quantitative; random; serp; serpl; serplas; serum; serum or plasma; sr; substance concentration,Qn
33325-2,trypsin [mass/volume] in serum or plasma,trypsin serpl-mcnc,trypsin [mass/vol],chemistry; level; mass concentration; pl; plasma; plsm; point in time; qnt; quan; quant; quantitative; random; serp; serpl; serplas; serum; serum or plasma; sr; tps,Qn
33327-8,varicella zoster virus ab [titer] in cerebral spinal fluid by complement fixation,vzv ab titr csf cf,vzv ab cf (csf) [titer],abs; aby; antby; anti; antibodies; antibody; autoantibodies; autoantibody; cerebral spinal fluid; cerebrospinal fl; cf; chicken pox; chicken pox virus; chickenpox; comp fixation; compfix; complement fixation; dilution factor; dilution factor (titer); herpes zoster; hhv-3; human herpesvirus 3; id; infectious disease; infectiousdisease; microbiology; neuro; neurology; point in time; random; shingles; smqn; spinal fl; spinal fld; spinal flu; spinal fluid; titer; titered; titre; ttr; vz; vzv; zoster,SemiQn
33335-1,diphenylmethoxyacetate [presence] in urine by screen method,diphenylmethoxyac ur ql scn,diphenylmethoxyacetate screen ql (u),diphenhydramine metabolite; diphenylmethoxyacetic acid; drug/toxicology; drugs; ordinal; point in time; pr; ql; qual; qualitative; random; scn; scr; screen; scrn; ua; ur; urn,Ord
33339-3,zolpidem [mass/volume] in urine,zolpidem ur-mcnc,zolpidem (u) [mass/vol],addiction; adormix; ambien; ambien cr; damixan; drug/toxicology; drugs; drugs of abuse; edluar; hypnogen; illicit; ivedal; level; lioran; mass concentration; myslee; nasen; nytamel; point in time; potentialforabuse; qnt; quan; quant; quantitative; random; sanval; somidem; stilnoct; stilnox; stilnox cr; sucedal; ua; ur; urn; zoldem; zolpihexal; zolpimist,Qn
33352-6,glucose/creatinine [mass ratio] in urine,glucose/creat ur,glucose/creatinine (u) [mass ratio],chemistry; cr; crea; creat; glu; gluc; glucoseur; mass concentration ratio; mass ratio; mcrto; point in time; qnt; quan; quant; quantitative; random; ua; ucr; ur; urn,Qn
33357-5,prothrombin time (pt) factor substitution in platelet poor plasma by coagulation assay --1 hour post incubation,pt 1h p inc ppp,pt factor substitution 1 hr post incubation coag (ppp) [time],1 hour; 1.0hr; 1h p inc; 60 min; 60 minutes; 60m; 60min; after; clot; clottable; coag; coagulation assay; fac; fact; hematology; heme; mixing studies; plas; platelet poor plasma; point in time; pro time; prothrombin time; protime; pst; pt; pt correction study; pt immediate mix; pt incubated mix; qnt; quan; quant; quantitative; random; tilt tube,Qn
33368-2,amylase [enzymatic activity/volume] in pericardial fluid,amylase pcar-ccnc,amylase (pericard fld) [catalytic activity/vol],alpha amylase; ams; amyl; cardio; cardiology; catalytic concentration; chemistry; diastase; heart disease; k87; pcar; pericardial fluid; point in time; qnt; quan; quant; quantitative; random,Qn
33370-8,variant lymphocytes/leukocytes in pleural fluid,variant lymphs nfr plr,variant lymphocytes/leukocytes (pleur fld),atypical lymphocytes; hematology/cell counts; leuc; leuk; leukocyte; lkcs; lung; lymp; lymph; lympho; lymphocyte; lymphs; lymphs%; number fraction; percent; pleural; pleural fluid; point in time; pulmonary; pulmonology; qnt; quan; quant; quantitative; random; reactive lymphocytes; respiratory; thoracentesis fluid; variant lymphocytes; variant lymphs; wbc; wbcs; white blood cell; white blood cells,Qn
33373-2,blasts/leukocytes in pleural fluid,blasts nfr plr,blasts/leukocytes (pleur fld),blast; hematology/cell counts; leuc; leuk; leukocyte; lkcs; number fraction; percent; pleural; pleural fluid; point in time; qnt; quan; quant; quantitative; random; thoracentesis fluid; wbc; wbcs; white blood cell; white blood cells,Qn
33381-5,coccidioides sp ab [units/volume] in serum,coccidioides ab ser-acnc,coccidioides sp ab qn (s),abs; aby; antby; anti; antibodies; antibody; arbitrary concentration; autoantibodies; autoantibody; coccidiodes; id; infectious disease; infectiousdisease; microbiology; point in time; qnt; quan; quant; quantitative; random; san joaquin valley fever; serum; species; spp; sr; valley fever,Qn
33396-3,neisseria meningitidis serogroups a+c+w135+y ag [presence] in serum,n men sg a+c+w135+y ag ser ql,n. meningitidis a+c+w135+y ag ql (s),acyw135; antigen; antigens; id; infectious disease; infectiousdisease; mening; meningid; meningitis; meningo; meningococcal meningitis; meningococcus; microbiology; n men; n men sg a+c+w135+y; n menigitidis; n meningitidis; ordinal; point in time; pr; ql; qual; qualitative; random; screen; serum; sr,Ord
3343-1,amoxapine [mass/volume] in urine,amoxapine ur-mcnc,amoxapine (u) [mass/vol],amox; asendin; defanyl; demolox; drug/toxicology; drugs; level; mass concentration; moxadil; point in time; qnt; quan; quant; quantitative; random; ua; ur; urn,Qn
33432-6,minumum expired volume setting ventilator alarm,vol exp min vent alarm,,end tidal volume; flow; lung; minimal; minimum; point in time; pulmonary; pulmonology; qnt; quan; quant; quantitative; random; respiratory; vent alarm; vet; vol; vol exp; vol exp min; volume rate; vrate,Qn
33435-9,inspiratory breath [time] --on ventilator,inspiratory breath on vent time,,lung; point in time; pulmonary; pulmonology; qnt; quan; quant; quantitative; random; respiratory,Qn
33436-7,drive pressure servo ventilator,drive pres servo vent,,drive pres; lung; point in time; pressure; pulmonary; pulmonology; qnt; quan; quant; quantitative; random; respiratory; servo vent,Qn
33465-6,francisella tularensis igg ab [titer] in serum,f tular igg titr ser,f. tularensis igg (s) [titer],abs; aby; antby; anti; antibodies; antibody; autoantibodies; autoantibody; dilution factor; dilution factor (titer); f tular; f tularensis; id; immune globulin g; immunoglobulin g; infectious disease; infectiousdisease; microbiology; point in time; random; serum; smqn; sr; titer; titered; titre; ttr; tularemia,SemiQn
