LOINC_NUM,text_representation
89775-1,resources management [cdc emergency operations centers]
89775-1,reources eergncy [cdc anagement pnl opeationcenters]
71616-7,neutrophils/leukocytes [pure number fraction] in pleural fluid by manual count
71616-7,neutophil/eukocytes number [pre fration] n pleural fuid by mana cunt
71616-7,neutrophil/leukocyte [ure number rtion] in plerl fluid by manual lung count
71616-7,neutrophils nfr.df plr manual
71616-7,neutrophils nfr.df plr point in time manual
71616-7,neutrohils nfdf plrmnul
71616-7,neutrophils/leukocytes manual cnt (pleur fld) [pure # fraction]
71616-7,eutrophils/leuocytes manual cnt fd) (peur [pure# frcton]
71616-7,neutrophils/leukocytes manual cnt fld) (pleur [pure # fraction]
2993-4,deprecated testosterone [mass/volume] in serum or plasma
2993-4,depecate testosterone[mas/volme] in ermor plas
2993-4,deprectd testosterone mss/volume] in serum or plasma
2993-4,deprecated testost ser-mcnc
2993-4,deprecated ser-mcnc testost
2993-4,deprecated testost quan serum-mcnc
2993-4,testosterone (s) [mass/vol]
2993-4,(s) testosterone [mass/vol]
2993-4,chemistry [mass/vol] (s) tstosterne
49747-9,cocaine+benzoylecgonine [presence] in serum or plasma by screen method
49747-9,cocain+enzolecgonine [pesene] in serum r plasma by screen method qual
49747-9,cocaine+benzoylecgonine [presence] in serum or plasma screen by method
49747-9,cocaine+bze serpl ql scn
49747-9,cocine+bze ql serpl sn qualitative
49747-9,ql serpl cocaine+bze qual scn
49747-9,cocaine+benzoylecgonine screen ql
49747-9,cocai+benzoylgonine ql sceen
49747-9,screen ser ccan+bezoylegonine ql
21088-0,azinphos-methyl [mass/volume] in urine
21088-0,urine [mass/volume] in azinphos-methyl
21088-0,in [mass/volume] azinphos-methyl urine
21088-0,azinphos-mehyl ur-mcnc
21088-0,ur-mcnc qnt azinphos-mehyl
21088-0,ur-mcnc azinphos-mehyl
21088-0,azinphos-methyl (u) [mass/vol]
21088-0,azinphos-methyl [mass/vol] (u)
21088-0,(u) azinpho-mthyl [massl]
6781-9,igg [mass/volume] in urine by immunoassay
6781-9,igg [mass/voume] by urin in mmunoasy
6781-9,igg[mass/volume]i urie by imunoassa
6781-9,igg ur ia-mcnc
6781-9,igg ur ia-mcn immune globulin g
6781-9,igg ia-mcnc ur
6781-9,igg ia (u) [mass/vol]
6781-9,igg (u) ia [mass/vol]
6781-9,igg ia [mass/vol] (u)
62607-7,deprecated phenx measure - smoking quit attempts
62607-7,deprected phenx attemps - smokng qit masure
62607-7,atempts masure - smoing quit derecatedphenx
669-2,microscopic observation [identifier] in specimen by macchiavello stain
669-2,microopic bseration [idntifier in specimen by unspecified machiavelo ain
669-2,microscopic observation by in specimen [identifier] macchiavello stain
669-2,macchiavello stn spec
669-2,macchiavello stn spec stains
669-2,macchiavlo stn spec
669-2,microscopic observation macchiavello stain nom (specimen)
669-2,mirocopic observaion machiavello stin (spcimen) om
669-2,microscopc observaton machiavello stain (spemen nom
80981-4,"n,n-dimethylarginine [mass/volume] in serum or plasma"
80981-4,"or level [mass/volume] in serum n,n-dimethylarginine plas"
80981-4,"n,n-imethylarginine [msolume] in seru or plsm"
80981-4,"n,n-dimethylarginine serpl-mcnc"
80981-4,"erl-mcc n,n-dmthylarginine"
80981-4,"serp-mcnc plsm ,n-dimethlarginne"
80981-4,"n,n-dimethylarginine [mass/vol]"
80981-4,"[mass/vol] serpl n,n-dimethylarginine"
80981-4,"n,n-dmethlrginie sr [massvol]"
26606-4,carnosine [moles/volume] in serum or plasma
26606-4,carnosine [moles/volume] in ser or plasma
26606-4,carnosine [moles/volume] in serpl
26606-4,carnosine serpl-scnc
26606-4,serplas carnosineserl-scnc
26606-4,serpl-scnc carnosine
26606-4,carnosine [moles/vol]
26606-4,carnoine [molesvol]
26606-4,[mols/vol] carnosine
20692-0,bacillus cereus [presence] in food by culture fda method
20692-0,baclus food presnce] i qual ceeus bycultue fda method
20692-0,[presece cereus bacillus i infectious disease ood by culture fd methd
20692-0,b cereus food ql cult fda
20692-0,food cereus b presence cult fda pr
20692-0,b cereus food ql cult cult fda fda
20692-0,b. cereus culture fda method ql (food)
20692-0,b. cres clturefda metd ql (fo)
20692-0,b. cereus culte fda method presence(food)
77377-0,human papilloma virus 16 and 18 and 31+33+35+39+45+51+52+56+58+59+66+68 dna [interpretation] in specimen
77377-0,human papilloma virus 16 [interpretation] infectious disease 18 and 31+33+35+39+45+51+52+56+58+59+66+68 dna and in specimen
77377-0,human papilloma virus 16 and8 a 31+3+35+39+45+1+5+5+58+59+66+8 dna [inerpretation] n specmen
77377-0,hpv16+18+h risk 12 dna spec-imp
77377-0,hpv16+18+h 12 risk dna spec-imp
77377-0,hpv16+18+h risk 12 hpv16+18+h isk 12 da spec-imp
77377-0,hpv 16 and 18 and 31+33+35+39+45+51+52+56+58+59+66+68 dna (specimen) [interp]
77377-0,hpv 16 and 18 and 31+33+35+39+45+51+52+56+58+59+66+68 dna (specimen) [interp]
77377-0,hpv 16 and 18 an 31+3+35+39+5+51+52+56589+66+68 dna impression/interpretation of study (specmen) [interp]
71759-5,rotavirus rna [identifier] in isolate by naa with probe detection
71759-5,rotavirus rna naa in isolate by [identifier] with probe detection
71759-5,rotirus rna [identifierin ioate by naa ith probe detection
71759-5,rv rna islt naa+probe
71759-5,rv rna naa+probe islt
71759-5,aa+robe islt rvrna
71759-5,rotavirus rna naa+probe nom (isol)
71759-5,rotavirus rna naa+probe nom id (isol)
71759-5,rotavirus (isol) naa+probe nom rna
52817-4,nucleated cells [#/volume] in dialysis fluid by automated count
52817-4,ucleated cells [#/volume] cellularity in dialysis fluid autoated by count
52817-4,nucled cells ont in ialysis fluid b automated quan [#/olume]
52817-4,nuc cell # dial fld auto
52817-4,nuc cell # dial auto fld
52817-4,auto cell # nuc dial fld nuc
52817-4,nucleated cells auto (dial fld) [#/vol]
52817-4,nucleated cells auto (dial fld) quan [#/vol]
52817-4,dialysate nucleated auto cells (dial fld) [#/vol]
98099-5,interleukin 21 [mass/volume] in serum or plasma
98099-5,interleukin 21 plasma in serum or [mass/volume]
98099-5,interleukin21 r n ser pl [mass/voum] pls
98099-5,il-21 serpl-mcnc
98099-5,serpl-mcnc il-21
98099-5,il-21 serpl-mcnc
98099-5,interleukin 21 [mass/vol]
98099-5,interleui 21 [mass/vol]
98099-5,iterleukin [mass/vol] 21
5615-0,cesium [mass/mass] in hair
5615-0,drug/toxicology cesiu [mass/mass] in hair
5615-0,cesim point in time inhai mass/mass]
5615-0,cesium hair-mcnt
5615-0,csiuhair-mcnt quan
5615-0,cesium hair-mcnt
5615-0,cesium (hair) [mass/mass]
5615-0,(hair) cesium point in time [mass/mass]
5615-0,cesium (hai [mass/mass]
90546-3,occupational therapy since the start date of the resident's most recent medicare part a stay [cms assessment]
90546-3,[cms therapy since the start date of the resident's most recent medicare part a stay occupational assessment]
90546-3,occupational therapy since the start date of stay resident's most recent medicare part a the [cms survey assessment]
63319-8,ribonucleoprotein extractable nuclear ab [presence] in cerebral spinal fluid by immunoassay
63319-8,ibonuleoproten extractable nuclear ab autoantibody [presence] in cerebral spinal fld b immunoassy
63319-8,rbnucleotein cerebalspinal nuclar b [ql] in exratale fluid ena by immunoassay
63319-8,ena rnp ab csf ql ia
63319-8,ena rnp ia csf ql ab
63319-8,ernp nuc ab qlia csf
63319-8,ribonucleoprotein extractable nuclear ab ia ql (csf)
63319-8,aby boncloprotein extractable uclear ab i ql (csf)
63319-8,ribonucleoprotein xtratabe nuclear ab ia ql (csf)
13219-1,chlamydia trachomatis g+f+k ab [units/volume] in serum
13219-1,chamyda trachomatis g+fk ab [nits/volume] iserum
13219-1,chlamydia srum g+f+k ab [uits/oume] in tachomatis
13219-1,c trach g+f+k ab ser-acnc
13219-1,antibodies c trach g+f+k ab serum-acnc
13219-1,g+f+k trach c ab ser-acnc id
13219-1,c. trachomatis g+f+k ab qn (s)
13219-1,c. trachomatis g+f+k ab anti qn (s)
13219-1,tachomais g+f+k (s) abqn antibodies
33622-2,isotricarboxylporphyrin [mass/time] in 24 hour stool
33622-2,isotricarboxylporphyrin [mass/time] in hour 24 stool
33622-2,itricaboxylporphrin mass/time] in 24 hour stool
33622-2,isotri-cp 24h stl-mrate
33622-2,st-mrate 24 istri-cp
33622-2,24h isotri-p stl-mrate
33622-2,isotricarboxylporphyrin (24h stl) [mass/time]
33622-2,isotricarboxylporphyrin (24h stl) [mass/time] mass rate
33622-2,isotricarboxylporphyrin (24h st) [mas/time]
14550-8,mumps virus ag [presence] in sputum by immunofluorescence
14550-8,mumps virus ag [presence] point in time in sputum by immunofluorescence
14550-8,mumps viru immufluorescence [presence in putum y ag
14550-8,muv ag spt ql if
14550-8,muv a if ql spt
14550-8,muv ag infectious disease spt presence if
14550-8,muv ag if ql (sput)
14550-8,muv ag if ql (sput) immunoflour
14550-8,muv (sput) if ql ag
35143-7,pca-2 ab [titer] in cerebral spinal fluid
35143-7,pca-2 ab [titer] in cerebral anti spinal fluid
35143-7,spinal ab [titer] in cerebral pca-2 fluid
35143-7,pca-2 ab titr csf
35143-7,aby pca-2 csf titr ab
35143-7,pca-2 ab titr csf cerebrospinal fl
35143-7,pca-2 ab (csf) [titer]
35143-7,[tter] (csf) spinal fld ca-2ab
35143-7,(cerebrospinal fluid) ab pca-2 [titer]
92566-9,planned intervention andor services panel
92566-9,planned andor intervention services panel
92566-9,intervention planned andor services panel
92566-9,planned intervention or services pnl
92566-9,pt planned intervention pnl services or
92566-9,planned intervention or services pnl
83277-4,irf-pai - mobility - discharge performance during 3 day assessment period [cms assessment]
83277-4,irf-pa - mobility centers for medicare and medicaid assessment - discharge performance urng 3 day assessment period [cms ssessment]
83277-4,irf-pai - mobility assessment] discharge performance during 3 day assessment period [cms -
20481-8,deprecated opiates [presence] in meconium by screen method
20481-8,deprecated oiates [presenc] ordinal in meconium by cree metod
20481-8,deprecated opiates [presence] in meconium by screen method
20481-8,deprecated opiates mec ql scn
20481-8,eprectedopiatesmec scn scn ql
20481-8,deprated opiates mec ql scn
20481-8,opiates screen ql (mec)
20481-8,opiate point in time scren ql (mec)
20481-8,opiates screen ql (mec)
22981-5,capripox virus [presence] in tissue by animal inoculation
22981-5,caripox [preence] irus in tissue by animalinocuation
22981-5,capripox virus [presence by microbiology tisue in animal inculatin
22981-5,capripox tiss ql anim inoc
22981-5,tiss capripox ql anim inoc
22981-5,capripox tiss presence anim inoc
22981-5,capripox virus animal inoculation ql (tiss)
22981-5,capripox virus animal goat pox inoculation ql (tiss)
22981-5,caprpox viru animal inoculationql(tiss)
56733-9,pcna extractable nuclear ab [presence] in serum by immunoblot
56733-9,ab immunobl extractable nuclear pcna [presence] in serum by immunoblot
56733-9,pcna extractable nuclear immunoblot [presence] in serum by ana ab
56733-9,ena pcna ab ser ql ib
56733-9,ena pcna nuc bser ql b
56733-9,ser pcna ena ab ena ql ib
56733-9,pcna extractable nuclear ab ib ql (s)
56733-9,pcna extractable nuclear ab abs ib ql (s)
56733-9,pcna extracabl ibql antinuclear antibody ab nuclear (s)
31711-5,adenovirus ag [presence] in stool
31711-5,adenovirus ag faeces [presence] in stool
31711-5,adnovius ag [presene] in stool
31711-5,hadv ag stl ql
31711-5,hadv agstl ql
31711-5,agstql hadv
31711-5,adenovirus ag ql (stl)
31711-5,adenovius ag q stl)
31711-5,adenovirus ag ql (stl)
19297-1,opiates tested for in urine by screen method narrative
19297-1,opiates tested for in urine by screen method narrative
19297-1,ua piates testedor iurine by screen thod narrative
19297-1,opiates tested ur scn
19297-1,ur tested opiate opiates scn
19297-1,piates ur tested cn
19297-1,opiates tested screen nar (u)
19297-1,scrn opiates tested screen (u) nar
19297-1,nar tested screen piates u) scn
25874-9,carnosine [moles/volume] in 24 hour urine
25874-9,in carnosine[moes/volume 24 hou urine
25874-9,24 hours carnosine moles/volume] in 24 hour urne
25874-9,carnosine 24h ur-scnc
25874-9,ua carnosine 24h ur-scnc
25874-9,ur-scnc 24h carnosine
25874-9,carnosine (24h u) [moles/vol]
25874-9,[moles/vol] qnt (24h u) carnosine
25874-9,carnosine (24h u) urn [moles/vol]
18427-5,epstein barr virus early ab [presence] in body fluid
18427-5,epstein arr virus n ab presence] early bodyfluid
18427-5,eptein brr virus earlya [presnce] in bdy fli
18427-5,ebv ea ab fld ql
18427-5,ea ebv ab fld presence
18427-5,ebv ql ab fld ea
18427-5,ebv early ab ql (body fld)
18427-5,ebv (body ql earlab fld)
18427-5,ebv early (body presence ab fld)
105615-9,bordetella pertussis dna [presence] in bronchoalveolar lavage by naa with probe detection
105615-9,bordetella pertussdna esnce] in brnchalvolar lavage bnaa with probe detecton
105615-9,bordetella pertussis dna [ql] wih brochoalveolr lavage by naa in probe detection
105615-9,b pert dna bal ql naa+probe
105615-9,amplif b pert d bal q naa+probe
105615-9,b pert dna presence bal naa+probe
105615-9,b. pertussis dna naa+probe ql (bal)
105615-9,b. pertussis dna naa+probe ql (bal)
105615-9,ligation-activated transcription b. pertussis dna naa+probe presence (bal)
90330-2,porcine parainfluenza virus 1 rna [#/volume] (viral load) in specimen by naa with probe detection
90330-2,[#/volume] parainfluenza virus 1 rna porcine (viral load) in specimen absolute by naa with probe detection
90330-2,porcin aanfluena irus  rna [#/volume] viral load) n specimen by naa ith prbe deecton
90330-2,ppiv1 rna # spec naa+probe
90330-2,piv1 rn# spec naa+probe
90330-2,ppiv1 pi1 rna # spec naa+probe
90330-2,porcine parainfluenza virus 1 rna naa+probe (specimen) [#/vol]
90330-2,porcine parainfluenza dna nucleic acid probe virus 1 rna naa+probe (specimen) [#/vol]
90330-2,porine parainfenzavru 1 nanaa+robe (specien) #/vol]
85966-0,streptococcus pneumoniae danish serotype 1 ab [units/volume] in serum by immunoassay --1st specimen
85966-0,streptococcus pneumoniae danish serotype ab 1 [units/volume] in serum by immunoassay --1st specimen
85966-0,streptococcus pneumoniae danish serotype 1 ab [units/volume] in ser by immunoassay --1st specimen
85966-0,s pneum da 1 ab sp1 ser ia-acnc
85966-0,s pneum da 1 ab quan sp1 ser ia-acnc
85966-0,s pneum da ab sp ia-acnc ser
85966-0,s. pneumoniae danish type 1 ab spec 1 ia qn (s)
85966-0,s. neumonie danh a type1 spec 1ia q ()
85966-0,s. pneumoniae danish type 1 ab sec 1 iaqn (s)
97031-9,follow-up panel spine tango
97031-9,follo-u spietango panel
97031-9,panel follow-up spine tango
97031-9,spine tango
97031-9,tango spine
97031-9,ango spine
45362-1,lymphocyte proliferation stimulated by 0.50 ug pokeweed mitogen in blood
45362-1,lymphcteprolifration simulated by 0.50 ug mitoge pokeweed i quant blood
45362-1,lymphocyte by stimulted proliferation 0.50 ugpokeweed mitogen n bloo bld
45362-1,lpt 0.50 ug pw bld-nrate
45362-1,lpt 0.50 ug pw blood-nrate
45362-1,lpt lpa 0.50 ug pw blood-nrate
45362-1,lymphocyte proliferation stimulated by 0.50 ug pokeweed mitogen (bld) [#/time]
45362-1,count/time lyphocyte prolifertion siuaed by 0.50 ug pokeweed mitogen (bd) [#/time]
45362-1,lymphocyte quan proliferation stimulated by ug 0.50 pokeweed mitogen (bld) [#/time]
32340-2,sodium [moles/volume] in specimen
32340-2,sodium [moles/volume] in specimen
32340-2,sodium [moles/volume] in specimen
32340-2,sodium spec-scnc
32340-2,sodium substance concentration spec-scnc
32340-2,spec-scnc sodium
32340-2,sodium (specimen) [moles/vol]
32340-2,quan (secime) sium [oes/vo]
32340-2,sodium (pecimen) [moles/vol
88827-1,symptoms panel [koos]
88827-1,"symptos koos, jr panel [koos]"
88827-1,[koos] panel symptoms
34689-0,sulfatidase [enzymatic activity/volume] in leukocytes
34689-0,sulfatidase [enzymatic in activity/volume] leukocytes
34689-0,sulfatidse [enzymatic activity/volume in leukocytes
34689-0,sulfatidase wbc-ccnc
34689-0,wbc-ccnc sulfatidase
34689-0,wbc-ccnc random sulfatidase
34689-0,sulfatidase (wbc) [catalytic activity/vol]
34689-0,(wbc) sulfatidase [catalytic activity/vol]
34689-0,sulfatidase (wbc) [catalytic quan activity/vol]
29241-7,mumps virus igg ab [units/volume] in body fluid
29241-7,mump irus igg bod [unit/voume in ab fluid
29241-7,mumps virus igg ab [units/volume] in fluid body
29241-7,muv igg fld-acnc
29241-7,muv fld-acnc igg
29241-7,immunoglobulin g muv igg fld-acnc
29241-7,muv igg qn (body fld)
29241-7,muv igg qn (body body fluid fld)
29241-7,antibodies muv igg qn boy fld)
31635-6,deprecated streptococcus pneumoniae 1 igg ab [units/volume] in serum --1st specimen
31635-6,drecated streptocus pneumoniae 1 igg ab [units/vome] in serum--s specime
31635-6,acute specimen deprecated 1 pneumoniae streptococcus igg ab [units/volume] in serum --1st specimen
31635-6,deprecated s pneum 1 igg sp1 ser-acnc
31635-6,deprecated s peum 1 ig sp1ser-acnc
31635-6,deprecated s pneum pneumococcus 1 igg sp1 ser-acnc
31635-6,s. pneumoniae 1 igg spec 1 qn (s)
31635-6,s. spec igg pneumniae1 1 qn (s)
31635-6,s. 1 pneumoniae igg spec 1 qn (s)
69781-3,2-hydroxyisovalerate [moles/volume] in serum or plasma
69781-3,2-ydroxyisovalerate [moles/volume] in ser or sr plasma
69781-3,2-hydroxyisovalerate [moles/volume] plas serum or in
69781-3,2oh-isovalerate serpl-scnc
69781-3,serpl-scnc 2oh-isovalerate
69781-3,2-hydroxy-isovalerate serpl-scnc 2oh-isovalerae
69781-3,2-hydroxyisovalerate [moles/vol]
69781-3,[moles/vol] 2-hydroxyisovalerate
69781-3,hydroxyisvaleate substance concentration [moles/vo]
32361-8,west nile virus rna [presence] in serum by naa with probe detection
32361-8,west nile virus rna [ql] in serum by naa with probe detection
32361-8,wst nileiru pobe [presence]i seru by a with rna detecin
32361-8,wnv rna ser ql naa+probe
32361-8,wnv naa+probe pcr ser ql rna
32361-8,wnv rnaserql naa+probe
32361-8,west nile virus rna naa+probe ql (s)
32361-8,west nile virus rnanaapro ql (
32361-8,naa+prbe nilevrs rna wes ql ()
86034-6,streptococcus pneumoniae danish serotype 19f ab [mass/volume] in serum --1st specimen
86034-6,streptococcus pneumoniae danish spec serotpe 1f ab [mass/vlume] in specimen --st serum
86034-6,streptocccus pnemoniae dansh erotype 9f b [mass/volm] in srum -1stpecimen level
86034-6,s pn da sero 19f ab sp1 ser-mcnc
86034-6,s 19f da sero pn ab sp1 ser-mcnc pneumonia
86034-6,s pn da sero 19f ab sp1 ser-mcnc autoantibodies
86034-6,s. pneumoniae danish type 19f ab spec 1 (s) [mass/vol]
86034-6,s. pneumoniae danish type aby 19f ab spec 1 (s) [mass/vol]
86034-6,s. pneumoni anish type 19 ab pec 1 (s) [mas/vol]
40616-5,campylobacter sp iga ab [presence] in serum by immunoassay
40616-5,campylobacter iga sp ab [presence] in ser by immunoassay
40616-5,camloacer sp iga ab [presence]in serum meia imunoassy
40616-5,campylobacter iga ser ql ia
40616-5,campylobacter ser iga ql ia
40616-5,campylobacter meia iga ser ia ql
40616-5,campylobacter sp iga ia ql (s)
40616-5,campylobacter sp (s) ia campy ql iga
40616-5,campylobacter sp iga ia ql (s)
73943-3,cannabinoids synthetic [presence] in blood
73943-3,cannabinoids synthetic [presence] in bld
73943-3,cannabinoids ql [presence] synthetic in blood
73943-3,cannabinoids synthetic bld ql
73943-3,cannabinoids drugs synthetic bld presence
73943-3,cannabinoids cannabinoid synthetic bld presence
73943-3,cannabinoids synthetic ql (bld)
73943-3,cannabinois synthtic presence (bl)
73943-3,cannabinoids synthetic ql(bld)
30021-0,borrelia burgdorferi 23kd igm ab [presence] in synovial fluid by immunoblot
30021-0,borrelia burgdorferi 23kd igm ab [presence] in synovial fluid by immunoblot
30021-0,borrelia burgdorferi 23kdigm a [prsence] in ynoval luid by immunoblt
30021-0,b burgdor23kd igm snv ql ib
30021-0,l igm snv anti bbgdr23kd ib
30021-0,b west blt burgdor23kd igm snv ql ib
30021-0,b. burgdorferi 23kd igm ib ql (syn fld)
30021-0,ql burgdorferi 23kd igm ib b. (syn wblot fld)
30021-0,b. west blt burgdorferi 23kd igm fld) ql (syn ib
6769-4,deprecated alkaline phosphatase [enzymatic activity/volume] in serum or plasma
6769-4,depecated akalin phosphatase [enzymati activity/volume] inserum or plas
6769-4,deprecated plasma phosphatase [enzymatic activity/volume] in alk phos serum or alkaline
6769-4,deprecated alp serpl-ccnc
6769-4,eprecatd serpl-ccnc random alp
6769-4,deprcated serp-ccnc alp qnt
6769-4,alp [catalytic activity/vol]
6769-4,activity/vol] [catalytic alkaline phosphatase.total alp
6769-4,alp [catlyic activity/vo]
21419-7,neutrophil cytoplasmic ab pattern [interpretation] in serum by immunofluorescence
21419-7,ab cyoplasmc neutrophil pattern [interpretation] anca i serum by immunoflorescee
21419-7,neutrphil cytoplamic b patter [interprettion] bimmunofluocence ser in
21419-7,anca ab pattern ser if-imp
21419-7,aca ab patter ser if-imp
21419-7,serology anca ab pattern serum if-imp
21419-7,neutrophil cytoplasmic ab pattern if (s) [interp]
21419-7,neutropil ctoplasmia attern impression/interpretation of study if ()[intrp]
21419-7,neutrophil cytoplasmic ab pattern if [interp] (s)
12504-7,hemoglobin.gastrointestinal [presence] in stool --5th specimen
12504-7,--5th [presence] in stool hemoglobin.gastrointestinal specimen
12504-7,in [presence hemglobin.gasrointestinal tool--5th specmen
12504-7,hemoccult sp5 stl ql
12504-7,hemoccult stl sp5 stl ql
12504-7,ql sp5 stl hemoccult
12504-7,hemoglobin.gastrointestinal 5th specimen ql (stl)
12504-7,hemoglobin.gastrointestinal 5th specimen gastroenterology presence (stl)
12504-7,hemogobin.gastrointestinal 5tspecimen q (stl) pr
81688-4,barmah forest virus rna [presence] in blood by naa with probe detection
81688-4,barmah forest virus rna [presence] in bld by naa with probe detection
81688-4,barmah forest virus rna [presence] in blood by probe with naa detection
81688-4,bfv rna bld ql naa+probe
81688-4,bfv naa+probe bld ql tma rna
81688-4,bfv rna probe with ampification bl ql napobe
81688-4,barmah forest virus rna naa+probe ql (bld)
81688-4,barmah forest virus rna naa+probe ql (blood)
81688-4,barmah foest naa+probe rna virus ql (blood)
57968-0,ganglioside gd1a igg ab [presence] in serum
57968-0,gnglioside serum anti ig ab [ql] in gd1a
57968-0,ganglioside gd1a ab igg [presence] in serum
57968-0,gd1a gangl igg ser ql
57968-0,angligg random gd1a er ql
57968-0,gd1a presence igg sr angl
57968-0,ganglioside gd1a igg ql (s)
57968-0,ganglioside igg gd1a ql (s)
57968-0,aglioside d1a ig ql (s
22818-9,avian infectious laryngotracheitis virus ag [presence] in trachea by immunoassay
22818-9,avian infectious laryngotracheitis virus ag [ql] trachea in by immunoassay
22818-9,avian nfectious layngotacheitis vius ag [resece] in rachea by immuoassay
22818-9,ilt ag trachea ql ia
22818-9,presence iltag trache presence ia
22818-9,trachea ag ilt presence ia
22818-9,avian infectious laryngotracheitis virus ag ia ql (trachea)
22818-9,ia infectious laryngotracheitis virus ag avian qual presence (trachea)
22818-9,avian nfectiou pr layngotracheitisvirus ag ia ql(tracea)
17936-6,bacteria # 3 identified in blood by anaerobe culture
17936-6,bactera #3 ideniiedin blood by anaeroe culture
17936-6,identified # 3 bacteria in blood by anaerobe culture
17936-6,bacteria bld anaerobe cult org #3
17936-6,bacteria anarobe bld cult og#3 anaerobe
17936-6,#3 bld anaerobe cult org bacteria
17936-6,bacteria identified # 3 anaer cx nom (bld)
17936-6,bacteria identified nom 3 anaer cx # (bld)
17936-6,bacteria identified # 3 nom cx anaer (bld)
59978-7,venlafaxine [moles/volume] in gastric fluid
59978-7,gastric [moles/volume] in venlafaxine fluid
59978-7,venlafaxine [moes/vole] in gastric fli
59978-7,venlafaxine gast-scnc
59978-7,venlfaxiegast-scnc
59978-7,gast-scnc venlafaxine
59978-7,venlafaxine (gast fld) [moles/vol]
59978-7,vnlaaxine (gast fld) [molesvol]
59978-7,venlafaxine substance concentration (gast fld) [moles/vol]
73179-4,quinidine induced platelet igm ab [presence] in serum or plasma by flow cytometry (fc)
73179-4,quinidine induced platelet igm ser a[presence] in srum or lasma by flow ctometry (fc)
73179-4,quinidine inducedplatelet igm ordinal ab [presene] yomtry serum or lasma by flow in (fc)
73179-4,quinidine ind plt igm serpl ql fc
73179-4,quinidine ind antibodies plt igm serpl ql fc
73179-4,plt ind quinidine igm serpl ql fc serplas
73179-4,quinidine induced platelet igm fc ql
73179-4,uinidineindued platelet igm f ser or plasma ql
73179-4,fc induced platelet igm quinidine ql
53446-1,carnitine palmitoyltransferase 2/citrate synthase [enzymatic activity ratio] in red blood cells
53446-1,carniin palmtoyltransferase 2/citrate ynhase[enymatic ativity rato] in re blood cel
53446-1,carnitie palmityltransferase 2/ctrte synthase [ezymati erythrocytes acivity ratio] n ed bood cells
53446-1,cpt2/cit syn rbc-crto
53446-1,pt2/ctsyn bc-crto
53446-1,carnitine.total cpt2/cit syn rbc-crto
53446-1,carnitine palmitoyltransferase 2/citrate synthase (rbc) [catalytic ratio]
53446-1,(rbc) 2/ctratesynhase canitinepalitoyltransfrase [ctlytic quant atio]
53446-1,caritne palmitoyltransferase 2citrate synthase(rbc) [catlytic ratio]
22608-4,escherichia coli verotoxin 1 ab [titer] in stool
22608-4,schrchia antibody oli verotoxin 1 i [titer] ab stoo
22608-4,escherichi coli stool 1 ab[titer] i erooxi titered
22608-4,e coli vtn1 ab titr stl
22608-4,faeces ecoli vtn1 ab stl itr
22608-4,e vtn1 fecal coli ab itr stl
22608-4,e. coli verotoxin 1 ab (stl) [titer]
22608-4,e. col verotoxin 1 ab stl) [titer]
22608-4,e. coli verotoxin 1 ab (stl) stool = fecal [titer]
86733-3,porcine parvovirus [presence] in specimen by organism specific culture
86733-3,porcine culture [presene]in secien by organism specific parvoviru
86733-3,porcine parvovirus [presence] in specimen specific organism by culture
86733-3,ppv spec ql cult
86733-3,pv spec ql pr cult
86733-3,ppv ql sec cult
86733-3,porcine parvovirus org specific cx ql (specimen)
86733-3,porcine parvovirus org specific cx presence (specimen)
86733-3,orcin arvovrus org specificcx q (pcimen
49813-9,2-hydroxyisocaproate/creatinine [molar ratio] in 24 hour urine
49813-9,2-hydroxyisocaproate/creatinine [molar hour in 24 ratio] urine
49813-9,-hdroxyisocaproate/creatinine [molar atio] urine 24 hour in
49813-9,2oh-isocaproate/creat 24h ur-srto
49813-9,2oh-isocaproate/creat 24h ur-srto
49813-9,24hur-srto 2oh-icaproate/crat
49813-9,2-hydroxyisocaproate/creatinine (24h u) [molar ratio]
49813-9,[molar (24h u) 2-hydroxyisocaproate/creatinine ratio]
49813-9,creat 2-hydroxyisocaproate/creatinine [molar u) (24h ratio]
57708-0,organic acidemias defects newborn screening comment-discussion
57708-0,organic acidemias screening newborn defects fp comment-discussion
57708-0,organic cmnt acidemias defects newborn screening comment-discussion
57708-0,oa defects nbs comment
57708-0,oa defects nbs comment
57708-0,oa defects nbs comment
57708-0,organic acidemias defects newborn screening comment-discussion nar (dbs)
57708-0,acidemias organic blood defects newborn screening comment-discussion nar (dbs)
57708-0,organic comm newborn defects acidemias screening comment-discussion nar (dbs)
80827-9,clostridium botulinum and clostridium baratii toxins gene panel - specimen by naa with probe detection
80827-9,clostridium botulinum and probe polymerase chain reaction baratii toxins gene panel - specimen by naa with clostridium detection
80827-9,lostridium botulinum and lotridiumbaratii toxis gene anel - specimen by naa witprobe sda detecion
80827-9,c bot + c baratii toxn pnl spec naa+prb
80827-9,cbot + cbaratii toxn pnlspec naa+prb
80827-9,c c baratii bot + c baratii toxn pnl spec naa+prb
80827-9,c. botulinum and c. baratii toxins gene panel naa+probe (specimen)
80827-9,baratii botulinum and c c. toxnsgene panenaaprobe miscellaneous (speimen)
80827-9,c. botulinumand c. baratii toxins gene anel na+robe speimen)
44336-6,magnesium/creatinine [mass ratio] in 24 hour urine
44336-6,magnesium/creatinine [mass hour in 24 ratio] urine
