anticadiolin antibdy ig blood|anticardiolipin igg antibody blood|body other cd7 fluid
serum hepatitis b surface antibody blood|atiody eia surace hepatitisb bloo|platelet clups bld
lipase ascits ascites ipase,|random ascites lipase, ascites|total collection time urine
pleural macrophages qnt|pleural macrophages quant|creatinine, joint fluid joint fluid
hephylline bood|theophylline blood|homocysteine blood
albumin, pleural pleural|pleural abumin, plura|factor xi blood
salicylate bld|blood salicylate|other cd2 body fluid
beta-2 blood microglobulin|bet-2 blood glob microglobulin|cd13 marrow ne
lipase ascits ascites ipase,|random ascites lipase, ascites|blood schistocytes
count monocyte blood|count/volume mnocyte count blo|aniocytosis bld
pten s, funciona blood|protein s, functional blood|qnt c-ractve roenblood
hepatitis abs a virus antibody bld|hepatitis a autoantibodies virus antibody blood|bod imunofixation
ptt blood|blood ptt|blood cd15
blood homocysteine|homocysteine blood|factor blood i
blood cd56|blood cd56|total binding capacity, iron blood
chloride, body fluid other body fluid|oy ody fluid oher chlorid, fluid|calculated thyroxine (t4) plasma blood index
magnesium, body fluid other body fluid|magnesium, body fluid other body fluid|mesothelial fluid cebrospinl cells (cerebrospinal fluid)
urine hemosiderin|hemosiderin urine|blood cd2
drug/toxicology barbiturate rine screen, ure|urine screen, urine barbiturate|blood cd33
bicarbnate, ascites sites quantitative|qnt ascites ascites bicarbonate,|gycoa flud bod othr
glyco a blood|a glyco bood|c3 blood
eosinophil blood count hematology/cell counts|eosinophil count blood|lymphs% aticalymphocytes plural
ascites ascites chloride,|chloride, ascites ascites quan|mass concentration blood tobramycin
blood cd19|blood cd19|rheumatoid blood enzyme immunoassay factor
blood oxygen|oxygen blood|urine gravity peifi
chloride, stool stool|stool stool chloride,|factor blood i
phenytoin, fre blod|blood free phenytoin,|white blood cell plasma cells leurl
salicylate blood|blood salicylate|reptilase blood time
burr cellularity cells bood|burr cells blood|urine wbc
urine bacteria|bacteria urine|blood measured osmolality,
blood glucose|level glucose blood|blood cd34
body other cd7 fluid|cd7 oher body flid|rbc, leural pleural
urine learane cretine|creatinine urine clearance|plsm cholesterol, hdl blood
cd5 bne marrow|marrow bone cd55|macrophage fluid macrophage joint
hematocrt, fluid cerebrospina cerebrospinal fluid (cerebrospinal fluid)|hematocrit, csf cerebrospinal fluid (csf)|blod fmc7
salicylate bld|blood pl salicylate|troponin i blood
ld, bodies body fluid other body fluid|ld, bod flui othr body flud l-lactate dehydrogenase|protein blood antigen c,
blood cd20|blood cd20|otherbody boyfuid sodium, fuid b/f
reptilase blood time|reptilase blood time|chloride blood
urine ua screen, urine barbiturate|drug/toxicology barbiturate rine screen, ure|oxygen saturation lod
blood ii factor|factor bood ii|wbc count blood
cd8 other body fluid|cd8 body other fluid|cd4/cd8 body other ratio fluid
urine sperm|urine sperm|ood macrocyte
blood cd138|cd138 blood|atypical lymphocytes pleural
transional epitheliaclls urine|transitional epithelial cells urine|cd5blood
eosinophils ascites|ascites leuk eosinophils|cd41 bone marrow
blood c6|blood cd16|cd41 bone marrow
fluid cerebrospinal blasts (csf)|fluid(sf) cebrospina lkcs blasts|urine rbc
total cholesterol, blood|cholesterol, blood total|non-protein bound phenytoin, percen free lood
marrow bone cd5|cd5 marrow bone|urine gravity peifi
bld hormone parathyroid|hormone parathyroid blood|glyco a other body fluid
wbc, (csf) cerebrospinal fluid csf|wbc, csf quan csf (csf)|nrpt) blood
cd59 blood|cd5blood|transitional epithelial urine cells
lactate dehydrogenase, csf csf (csf) random|lactate dehydrogenase, csf cerebrospinal (csf) fluid|polys cerebrospinal fluid (csf)
hepatitis b virus core antibody bld liver|hepatitis b virus enzyme immunoassay core antibody blood|ody other cd22 fluid
blood cd56|cd56 blood|rea urineurine nitrogen,
cd4/cd8 ratio blood|blood ratio cd4/cd|blood blood schistocytes
body othe cd1 fluid|cd14 other bodylud|nt-nuclear tibodyblood
heparin blood|eparin blood|pco2 blood
calcium, body chemistry fluid other body fluid|calcium, body fluid other body fluid|lymphctes blood
acanthocytes blood|acanthocytes blood whole blood|blood cd138
free calcium blood|free calcium blood|microcytes blood
pleural lympocytes|lymphocytes pleural|quanitative g6pd blood phosphorous
macrocytes blood|bld macrocytes|polys ererospinal fluid (csf)
blood cd2|blood cd2|urine crystals, other rine
cd16 blood|cd16 blood|parathyroid intact parathormone hormone blood
eosinophil count blood|count eosinophil bld|urine sperm
bicarbonate, other fluid other body fluid|carbonic anhydride other fluid bicarbonate,other body fluid|urn glucse, urie rine
urea nitrogen, ascites ascites|ea ascites ascitis nitrogen, ascies|blood cd20
cd10 bone marrow|bone cd10 arrow|wbc, ascites ascites
eosinophil blood count hematology/cell counts|eosinophil count blood|blood basophis
blood percent lymphocytes,|lymphocytes, percent blood|count eosinophil bld
quant ibody,iga nti-gliadin bld|anti-gliadin blood iga antibody,|pappenheimer bodies blood
othe cd1c bdy flud|cd11c other body fluid|% hemoglobin a1c blood
po2, bodyfluidother to2 bodyluid|po2, body fluid ote body fluid|bood acanthocytes ql
blood hematocrit|hematocrit blood|blood hemoglobin a1c % hgb
cholesterol, ascites ascites|cholesterol, ascites ascites|urine hemosiderin
d-dimer blod|blood d-dimer|urne volume urine
lyco abood|a glyco bood|polys joint fluid
tbgblood qnt calulated|clculate tbg bld|percent cells, cd8 blood
tidal volume blood|tidal volume blood|blod plasma amylase
bone cd8 marrow|d8 bone marrow|creatinine clearance urine
bone cd2 marrow|bone cd marrow|benzodiazepine urine urine screen,
wbc urine casts|urine casts wbc|cd6/6 marrow bne
cd19 other body fluid|body other cd19 fluid|prodt degrdtio fibrin lood
blood ii factor|factor ii blood|hyroid peroxidase antiboiesbod
specific urine gravity|specific gravity urine|prolactin blood lactotropin
creatinine, chemistry pleural pleural|reainine, random pleral pleurl|glo  bone marrw
anti-gladin ibdy, bloo iga|anti-gliadin antibody, iga blood|plasma pleural cells
blood cd41|blood cd41|albumin, urine urine
rstate specific antign bloo|prostate specific antigen blood|reatine serplas kinase, mb isoezme blod
potassium, body fluid other body fluid flu|potassium other body fluid|myoglobin, urine urine
absolute lymphocyte blood count|absolute lymphocyte count blood|macrophage joint fluid
leukcytes urine|urine leukocytes|heparin blood
facor  blood|facor v lood|reticulocyte count, automated blood
joint aspirate cratinine jintfuid fluid joint|creatinine, joint fluid joint fluid|c-reactive protein blood
acidblood valproi|blod pl cid valproic|alkaline phosphatase blood
lymphocytes percenblod|lymphocytes, percent blood|cd23 blood
blastsblod hematology/cell counts|blast blod|blood v factor
hepatiti bcore antibody, hepatis igm blood|b hepatitis core universallaborders antibody, igm bld|prot elph pnl pep, csf cerebrospinal fluid (csf)
blood ct bands|blood bands|urea nitrogen, urine urine
reptilase time blood|repiase time loo|triglycerides blood
cerebrospinal wbcs lymphs fluid (csf)|quantitative lymphs cerebrospinal fluid (csf)|reptilase blood time
rstate specific antign bloo|prostate antigenblood spcic|ntprobnp lood brain natriuretic peptide
othebody bands fluid|bands other body fluid|trigcerides,pleuralpleural mass concentration
ascites ascites creatinine,|creatinine, ascites ascites|protein s, anigen blod
ascites ascites chloride,|chlorid, cl- ascites acts|nirite urine
screen porphobilinn urin|pophbilinogn urine cren heme|asctes ascitic fluid ascies wbc,
osmolality, other fluid body body fluid|osmolality, body flu fluid other body fluid|heprn blood
bld level antigen (cea) carcinoembyronic|carciebyronc antigen (cea) antigens blod|osmolality, body flu fluid other body fluid
hormnbinding sex globulin glob blood|sex blod plsm gloulin hormonebining|gamma glutamyltransferase bld
urine sperm|urine sperm|blood lung pco2
cd138 oter body fud|cd138 other body fluid|creatine kinase (ck) blood
cd11c other body flud|fluid other body cd11c|amorphous crystals urine
factor ii blood|blood ii factor|blood percent lymphocytes,
cd10 bone marrow|bone cd10 arrow|blood globulin
eosinophil count blood|count eosinophil bld|specific urine gravity
blood cd33|blood cd33|cd15 fluid body other
bood f quantitative hemolobin|f hemoglobin blood pt|white blood cells cerebrospinal eosinophils fluid (csf)
carcinoembyronic antigen tumor marker (cea) blood|arcinoemyroic antigen (cea) blood|polys joint fluid
xiii factor blood|factor xiii blood|plasma bf other body fluid
blood cd33|cd33 blood|bcarboate, stoo stol
blood whole blood anisocytosis|aniocytosis bld|pleural pleural cholesterol,
lipase, body fluid other bf ody fuid|liase flu body uid other ody flui|toal proein, pleurlpleural
immunoglobulin g blood|imunoglobuin g blood|absolute wbc count blood
bld hormone parathyroid|parathyroid hormone blood|ntprobnp blood random
serp glucose blood|glucose blood|cholesterol, blood total
blood schistocytes|schistocytes blood|ck-mb blood index
magnesium, body fluid other body fluid|magnesium, body fluid other body fluid|transitional epithelial urine cells
bld mch haemoglobin|mch hb bloo|polys quan ascites
microcytes blood|blood microcytes screen|osmolality, urine urine
basophils joint fld joint fluid|fluid joint basophils|bld vancomycin
ld, body fluid other body fluid|ld, body fluid, unsp ody fluid other bo fluid|globulin bld
sickle cell point in time preparation blood|ql prearation cell sick blood|urine glucse
anti-mitochondrial antibody blood|mitochon anti-mitochondrial bld antibody|quantitative blood cells young
ntprobnp lood brain natriuretic peptide|serum ntprobnp loo|pleural bicarbonate, pulmonology pleural
wb smear araite bld bld|parasite bld smear bld|blood cd3
lactate dehydrogenase, csf cerebrospinal (csf) fluid|lactate dehydrogenase, csf csf (csf) random|blood carboxyhemoglobin
blood bicarbonate|blood bcaronate|blood cd41
hormone luteinizing blood|luteinizing blood hormone|d7 marow bone
valproic acid blood|blod pl cid valproic|lymphocytes pleural
antibodies hashimoto's thyroiditis anti-thyroglobulin blood|anti-thyroglobulin antibodies blood|anion gap blood quan
yaline casts uine|hyaline urine casts|albumin, urine urine
erm viscost blood|viscosity serum blood|blood eosinophils
lood parasite blood infectious disease smar|bld parasite smear bld identity or presence|ha-dr bonemarrow
vancomycin blood|plsm vancomycin blood|screen saliylate bld
blood roteinlectroporesis|protein electrophoresis blood|mestelial ells pleural
pocaamie qnt bld|procainamide ood|cholesterol, bood serum total
myelocytes blood|lod melocyts|d10 marrow bone
coine, rine urne potentialforabuse|urine urine cocaine,|human gonadotropin chorionic blood
urine color urine|urine urine color|blood nitrogen urea
urine wbc|wbc urine|luteinizing hormone blood
cd23 bone marrow|bone cd23 marow|chloride, urine urine
urine stals cholesterol|cholestrlcrystals uine|red blood cells blood
<abumin> cerebrospinal fluid (csf)|<lbumin> fuid crebrospinl (sf) universallaborders|myoglobin, urine urine
gastrin quan bld|gastrin blood|blood anti-mc
sodium, body fluid other body fluid|sodium, fluid b/f fluid other body body|urine volume urine
ck-mb blood index|ck-mb blood index|chloride, body fuid othr boy fluid qnt
cd2 blood|blood cd2|anticardiolipin igm antibody blood
marrow bone hla-dr|ha-dr bonemarrow|cd38 fluid body other
cd7 other body fluid|c7 other body fluid|protei c, antigen blood
urine nitrite|nitrite urine|cd38 blod
lymphocytes lymphs% bld|lymphctes blood|flu bicarbonate, other fluid other body fluid
urea nitrogen, ascites ascites blood urea nitrogen|urea nitrogen, ascites ascites|heinz body prep body bld
macrophage other body fluid|bf macrophage other body fluid|pep, flid cerebrospinal cerebrospinal fluid (cerebrospinal fluid)
blood ovalocytes|ovalocytes blood|immunoglobulin m blood
lymphoyte,percent blood|blood percent lymphocytes,|troponin i blood
volume tidal blood|blood volume tidal|a hemogloblin bood
urine blood|urine blood|axy casts urine
blood cd33|cd33 blood|blood d15
monocytes erebrspinal fluid cerebral spinal fluid (csf)|monocytes cerebrospinal fluid leuk (csf)|phosphate, urine urine
white bld count bld cells|whiteblod cels blood|marrow bone cd13
ld, fluid fluid joint joint|fluid joint ld, joint fluid|blood pco2
total protein, ascites ascites|tota protein, ascites ascites quan|qnt ascites ascites bicarbonate,
blood romin|lood thrombin|functional fibrinogen, blood
eosinophils other body fluid|eosinophils othrboy fluid|cells mesothelial pleural
ells, cd4 percent bood|cd4 cells, percent blood|waxy casts urine
fluid fluid other body type|fluid type other body fluid|cells bite blood
marrow bone cd8|marrow bone cd8|protein functional s, blood
blood d22|blood cd22|alanine universallaborders aminotransferase blood (alt)
cd5 blood|blood cd5|toal proten urineurine
free calcium blood|free calcium blood level|potassium bod other body fluid
blood cortisol|cortisol blood cort|monocyte count blood
glucose blood|level glucose blood|throbin bood
amylase/creatinine ratio, urine urine|gastroenterology amylasecreatinin ratio, ri urin|toal proten urineurine
blood chloride|chloride blood|tolprtein, cs (sf) fli cererospinal
hormone luteinizing blood|luteinizing hormone blood|immunofixation blood
blood fragilty osmotc of|osmotic fragility blood|bld neutrohils hyperegmented manl
fmc-7 fluid body other|fmc-7 other body fluid|albumin, urine urine
young cells blood|ells oung blood young platelets|cd56 blood
ql prep heinzbo lood|heinz body prep body bld|lipase, ascites ascites
otassium, level urine urine|potassium, urine urine|cd5 blood
blood c3|c3 blood|lactate chemistry csf dehydrogenase, cerebrospinal fluid (csf)
bicarbnate, ascites sites quantitative|qnt ascites ascites bicarbonate,|<lbumin> fuid crebrospinl (sf) universallaborders
macrophage fluid joint point in time|macrophage fluid macrophage joint|pols crebospnl flud cerebrospinal fluid)
bse excess pulmonology bloo|excess chemistry base blood|white cells blood wb blood
cholesterol, ldl, measuredblood serplas|cholesterol, ldl, lipid measured blood|oxygen saturation blood
joint aspirate cratinine jintfuid fluid joint|joint creatinine, fluid joint random fluid|pleural pleural cholesterols cholesterol,
bld eosinophil cnt|blod absolutes eoinophils|factor ix blood
cd5 other body fluid|cd5 other fluid body|calcium, body fluid other body fluid
ascites actes potassim,|ascites acites poassium,|oter cd3 body flud
triglycerides, qnt leurl pleural|trig pleralpleual trigycerides,|riculoytecoun, blood autoate quan
absolute count cd8 blood|cd8 absolute count blood|body other quantitative lymphocytes fluid
urie amyl ratio, urie mylse/reaiine|gastroenterology amylasecreatinin ratio, ri urin|d-dimer blood
calcium, urine urine|urineurie calcium, ur|bld level antigen (cea) carcinoembyronic
hb bld methemlbin|methemoglobin blood|schistocytes blood
cd20other body fluid|other cd20 body fluid|bicarbonate blood
specific graity urine|uine graiy speific|uric acid crystals urine
factor ix blood|factor blood ix|ammonia bld
blood basophils|l basophls|blod absolutes eoinophils
tbgblood qnt calulated|chemistry blod tbg calculated|specific urine gravity
bilirubin, indirect bld|quan blood indirect bilirubin,|gamma glutamyltransferase blood
cd41 blood|blood cd41|cd5 blood
potassium, blood blood whole|blood whole potasium, blood|blood pco2
length collection urine of urine|ngt o uine colection urine|salicylate bld
urine wbc|urine wbc|potassium, urine urine ur
ammoium biurate urne|amonum birate urne|protein functional s, blood
cd14 marrow bone|cd14 marrow bone|chlesterol, ldl, measu bloo
cd3 other body fluid|other cd3 body fluid|urine urine glucose,
cd0 blood|blood cd10|d4 bone marrow
cd15 other body fluid|cd15 othr body fluid|total protein, ascites ascites
carboxyhemoglobin blood hgb|blood carboxyhemoglobin|microcytes blood
hypochromia blood|hypochromia blood|cd45 bone marrow
blood pl thyroglobulin|pl bld thyroglobulin|gastrin blood
polys other body fluid|polys other body fluid|pleural macrophages
glucose, body fluid other body fluid level|glucose, body fluid other body fluid|other cd22 body fluid
cd5 bodyfluid othr|cd5 other fluid body|human chorionic gonadotropin blood
pt blood|pt blod|blood hematocrit
blood anti-mc|anti blood anti-mc|other ratio cd4/cd8 body fluid
ani-thyroglobulin sr bood antibodies|anti-thyroglobulin antibodies bld|% hemoglobin a1c blood
atiody eia surace hepatitisb bloo|hepatitis b surface anibody blod|<abumin> cerebrospinal fluid (csf)
blood bands|bands blood|mesothelial cells fluid cerebrospinal (csf)
acid valproic bld|lod aid valproic|folate blood
quanitative g6pd blood phosphorous|quantitative g6pd g6pd lood|rb, csf hematology/cell counts (csf fluid erebrospinal
a hemogloblin bood|hemogloblin a blood|osmolality, body flu fluid other body fluid
h/o smear blod|smr h/o blood|quan gatrin blood
cd166 bone marrow|cd6/6 marrow bne|cells, cd8 percent blood
fmc-7 fluid body other|fmc7 other body fluid|phosphate, urine urine
wbc, joint fluid fluid joint|wbc, joint fluid joint fluid|24 hr urine calcium
eparin blood|heparin blood|carboxyhemoglobin blood hgb
blood basophis|blood basophils|viscosity serum blood
bilirubn, direct blood liver|biliruin, diret bloo|cd13 marrow bone
equation) gfr mdrd estimated bld|esimate gfr (mdrd equation) blood|basophils pleural
bicarbonate, pleural pleural|pleural pleural bicarbonate,|lactte dehyrogenase (ld) blood
troponin i bld|troponin i blood|blod fmc7
anti-smooth blood antibody muscle|anti-smooth muscle antibody blood|bas othr body fluid
blood ptt|blood ptt|blood cortisol
bite cells blood|qual bite cells blood|blood antibod anti-mitochndrial
crystals amorphous urine|crystals amorphous urine|albumin, urine urine
sulfonamies urine|uin sulfonmds|ur urine ph
o2 bld flow|lood o2flo|ngt o uine colection urine
wbc plasma cels leural|plasma cells pleural hematology/cell counts|ferritin blood quantitative
bld serology ant-thyroglobulinantbodie|antibodies hashimoto's thyroiditis anti-thyroglobulin blood|blood (t3) quant triiodothyronine
magnesium, other flui boy body fuid|magnesim, body fluidothr bod flui|quantitative g6pd blood
transitional epithelial urine cells|transitional eithelial cells urne|heparin, mw blood
blood neutrophils|neutrophils blood|pt blood
protein blood antigen s,|protein s, antigen blood|rbccasts urine
red blood blood cells quan|red blood cells blood|cd38 other boy flud
inr(pt)blood|inr(pt) blood|other cd8 bodyfuid
blood hematocrit|hematocrit blood|d41 bone marrow
anti-gladin ibdy, bloo iga|iga antibody, autoantibodies anti-gliadin blood|blood cd59
toal proein, pleurlpleural|total protein, pleural pleural|blood cd41
creatinine clearance urine|urine ua cratnineclearnce|clculated tota co2 blood
methemoglobin blood|hb bld methemlbin|plasma cells pleural
estimated gfr (mdrd equation) blood gfr|estimed serpl gfr(mdrd equation) bld|urine urine other crystals,
blood d22|blood cd22|porphobilinogen qualitative screen urine
cortisol blood|blood cortisol|procainamide ood
uine collection time total|ngt o uine colection urine|blood centromere
urne, hcg, qual urine|hcg, ualitative urine, urin|cd15 blood
h/o smear blod|h/o smear blood|calcium urine crystals oxalate
troponin t blood universallaborders|troponin sr bld t|red blood cells blood
glucose, body body other fluid fluid fl|glucose, body fluid other body fluid level|p blood
d-dimer blod|blood d-dimer|body nitrogn, urea fluid otherbodfluid
renal urine cells epithelial|uie cells renalepithelia|osmolality, ascites ascites
blood xi factor|blod actorxi|calcium, ttal bod
blood myelocytes hematology/cell counts|myelocytes blood|urine blood
transitional eithelial cells urne|transitional epithelial cells urine|tobramycin blood
plasma follicle stimulating horone lood|follice hormonelood stmulatin|fluid cerebrospinal blasts (csf)
lymphocytesjoint fluid leukocyte|lymphocytes joint white bld cells fluid|quant ibody,iga nti-gliadin bld
igm b ql ore antibody, hpatitis blood|hepatitis b core antibody, igm blood|cd14 marrow bone
blood centromere|blood fa centromere|benzodiazepine blood screen
cd6/6 marrow bne|bone cd16/56 marrow|osmolality, other fluid body body fluid
cd22 other body fluid|cd22 other fluid body|ascites ascites creatinine,
munogluin g blod|immunoglobulin g blood|pep, csf cerebrospinal fluid (csf)
iron stain bone marrow|stain iron bone marrow stains|rheumatoid blood enzyme immunoassay factor
fmc-7 other body fluid|fmc-7 fluid body other|blood volume tidal
bands boy neut ther flud|bas othr body fluid|amorphous urine crystals
total cerebrospinal universallaborders cs proein, fluid (csf)|tolprtein, cs (sf) fli cererospinal|chloride, ascites ascites
bite cells lod|qual bite cells blood|nh3 ammonia bld
epithelial urine cells|epithlia ell urin|creatinine, urine urine renal
cholesterol ratio (total/hdl) blood|cholesterol ratio (total/hdl) blood cardiology|fluid jint macrphage
basophils cerebrospinal fluid (csf)|basophiscerebrospinal (csf) fluid|d4 bone marrow
cd7 oher body flid|cd7 other body fluid|blood myelocytes
blood v factor|blood v factor|alkaline phosphatase blood
ne d34 marw|cd34 bone marrow|total urine protein, urine
ha-dr other ody fluid|boy other la-dr fluid|factor rheumatod lood
blood micrctes blood|blod microcytes|calculated bood (t4) index throxine
ood macrocyte|bld macrocytes|blood homocysteine
bicarbonate, pleural pleural|pleural bicarbonate, bicar pleural|hepatitis a autoantibodies virus antibody blood
urine leukocytes|leukcytes urine|c7 other body fluid
fluid joint basophils|basophils joint fluid|macroovalocytes blood
lymphocytes qnt joint fluid|lymphocytes joint white bld cells fluid|urine fatty
lmphocytes blood|lymphctes blood|cd34 bone marrow
eosinophils csf (csf)|eosinophils cerebrospinal fluid (csf)|protein c, blood antigen
bleedig bood time|bleedig tie lod|platelet smr blood
blasts blood ct|blastsblod hematology/cell counts|microscopic sphercyte bood
blood sodim|sodimblod|trigcerides,pleuralpleural mass concentration
cd8 body other fluid|cd8 other body fluid|blood g6pd quantitative red blood corpusles
urine crystals, urine other|urine crystals, other rine|bld neutrohils hyperegmented manl
microcytes blood|blod microcytes|fluid other body cd7
bld eosinophil cnt|eosinophils blood|serum viscosity blood
count/volume mnocyte count blo|count monocyte blood|spinal fl <albumin> csf (csf)
fmc-7 bod|fmc-7 blood|blood xii factor
satuation oygen blood|oxygen saturation quant blood|myoglobin, urine urine
ascites ascites creatinine,|prt creatinine, ascites ascites|heatitis anibod iru igm a bood
factor x blood|blood x factor|blood antibody igm anticardiolipin
reticulocyte retic absolute count, blood|rtculocyt count, absolte blood|ammonia blod level
soum, ody fluid othr bod fluid fluid|sodium, body fluid other body fluid|beta-2 microglobulin blood
creatine kinase (ck) bod|(c)blo kinase cratine qnt|estimed serpl gfr(mdrd equation) bld
cholesterol, pleural pleural|pleural pleural cholesterols cholesterol,|uptak ratio bld quantitative
rea urineurine nitrogen,|urea quantitative nitrogen, urine urine|lood thrombin
lymphocytes percenblod|lymphocytes, percent blood|immunoglobulin g blood
urine hypenatedyeast|urne yeast hypheated|cd4/d8 atio lood
basophils jit flud quan|basophils joint fluid|blood cd19
coine, rine urne potentialforabuse|cocaine, qualitative urine urine|cd13 marrow ne
double stranded quant dna bld|double traded na bld|bodies pappenheimer blood
blood cd23|cd23 blood|bicarbonate, pleural pleural
bicarbonate, urine urine|bicarbonate, urine urin|young cells blood
esimate gfr (mdrd equation) blood|equation) gfr mdrd estimated bld|factor ix blood
wbc, csf cerebrospinal fluid (csf)|wbc, csf quan csf (csf)|bilirubin, bod total, flui bili other bdy flid
osmolality, universallaborders blood measured|osmolality, measured blood|glucose bld whole bld
count count/volume granulocyte bld|ct cuntblod granlocte|creatinine, ascites ascites
metamyelocytes percent other body fluid|metamylocyts other body fluid|bilirubin, total, body fluid other body fluid
urne yeast hypheated|hyphenated urine yeast|alkaline phosphatase blood
bood cont, automated reticlocyt|rticulocyte cunt,utomated blod auto|fluid ceebrospinal bands (sf)
irn bnding capacity, total bld chemistry|transferrin blood|blood cd19
fluid other body myelocytes|myelocytes other body fluid|antibodies hashimoto's thyroiditis anti-thyroglobulin blood
marrow bne cd7|d7 marow bone|benzodazeine screen pr blod
calculated tbg blood|chemistry blod tbg calculated|bacteria urine
bands boy neut ther flud|bas othr body fluid|blood hla-dr
c3 blood|blood c3|bse excess pulmonology bloo
tota protein, ascites ascites quan|total protin, acite ascites|blood xii factor
microcytes blood|blod microcytes|ph blood
cd20 other body fluid|cd20 body other fluid|cholesterol, body fluid other body quant fluid
cd19 blood|cd1 blood|coor urine urine
serum hepatitis b surface antibody blood|hepatitis b surface anibody blod|anticardiolipin antibody igg blood
re cellsblood blood|red cells blood whole blood blood|crystals amorphous urine
po2, bodyfluidother to2 bodyluid|po2, body fluid other body fluid|tidal volume blood
blood basophils|basophils blood|iron mass concentration binding cpacity, totalblood
bld antibody anti-mitochondrial|anti-mitochondrial antibody blood random|estimated gfr (mdrd equation) blood
a qnt hemogloblin bld|a hemogloblin bood|crysals caboate calcium urine
igm antibody aticardiolipi bloo|anticardiolipin igm antibody blood|fluid fluid other body type
urea quantitative nitrogen, urine urine|urea nitrogen, urine urine|pleural basophils pleural
magnesium, body fluid other body fluid|magnesium, body fluid other body fluid|heinz body prep body bld
hemoglobin blood c point in time|hemoglobin c blood|cholesterol, body fluid other body fluid
tota protein, ascites ascites quan|total protein, ascites ascites|sodium, body fluid other body fluid
ascites ascites wbc,|ascites wbc, ascites|protein electrophoresis blood
bld ql schistocytes|blood blood schistocytes|urne bilirbin
plasma cells leuc blood|plasma blod cels|vlume urine urine
blood glucose|serp glucose blood|non-protein bound phenytoin, percen free lood
quant ibody,iga nti-gliadin bld|anti-gladin ibdy, bloo iga|% hemoglobin glycosylated hemoglobin a1c blood
blood antibody igm anticardiolipin|anticardiolipin antibody igm blood|l basophls
bilirubin, total blood serpl|blood tota bilrubin,|calculated thyroxine (t4) plasma blood index
young cls blod|quantitative blood cells young|cortiol serum blod
platelet smear blood|bloo smear platelet manl|tobramycin blood
cd22 blood|blood cd22|wbc, joint fluid joint fluid
blastsblod hematology/cell counts|blats blood|microscopic sphercyte bood
lactte dehyrogenase (ld) blood|(ld) dehydrogenase lactate blood|lymphocytes other body fluid
red cells blood whole blood blood|rd ood cells blood|nonsquamous urine cell epithelial
2-hydroxy-propionic acid lactate dehydrogenase (ld) blood|lactte dehyrogenase (ld) blood|lymphs% aticalymphocytes plural
sickle cell point in time preparation blood|sickle cell preparation blood|ascites acites poassium,
hematocrit blood|blood hematocrit|casts wb urine
amylas, joit fluid uid joint syn|amylase, joint fluid joint fluid|lymphocytes lymphs% bld
glucose, urine urine|urn glucse, urie rine|polychromasia point in time blood
iliubin, direct bloo|biliruin, diret bloo|functional c, protein blood
cholesterol, ldl, measured blood|cholesterol, ldl, measuredblood serplas|cd13 bone marrow
gluose, ody body oher fui fluid|glucose, body fluid other body fluid level|cells epithelial urine
wbc, fluid joint joint fluid random|wbc, joint fluid fluid joint|eosinophils csf (csf)
ql prearation cell sick blood|sickle preparation ordinal cell blood|rbc, red cell csf cerebrospinal (csf) fluid
bld glucose|bld glucose quan|hormnbinding sex globulin glob blood
bicarbonate, stool stool|stool icaronate, stool|urine specimen type urine
urine crystals, other rine|urine urine other crystals,|phosphate, body fluid other body fluid
blood random estradiol|stradiol bood|hepatitis abs a virus antibody bld
blood cd20|blood cd20|stradiol bood
color urine urine|urine color urine|po2, bodyfluidother to2 bodyluid
quan iron blood|iron bloo|other cd20 body fluid
carcinoembyronic antigen (cea) blood|bld level antigen (cea) carcinoembyronic|number concentration bld count eosinophil
blod cd13|blood cd13|calcium oxalate crystals urine
cd2 bone arow|bone cd marrow|lipase ascits ascites ipase,
bod imunofixation|immunofixation blood|other cd22 body fluid
blood cd20|blood cd20|lymphs cerebrospinal spinal fl fluid (cerebrospinal fluid)
hyphenated urine yeast|hyphenated yeast urine|blood cd23
fluid type other body fluid|fluid tye body other luid|rbc asts urn
cd22 blood|blood cd22|cholesterol, body fluid other body quant fluid
bicarboate, urnurine|bicarbonate, urine urin|ani-thyroglobulin sr bood antibodies
prtei blood anigen s,|protein s, anigen blod|urine specien type urine
fibrin degradation products blood|prodt degrdtio fibrin lood|renal prot. electrophoresis, urine urine
urine bacteria|urine bacteria|rbc urine casts
parasite bld smear bld|bld parasite smear bld identity or presence|cd16 blood
a glyco bone marrow|glyco a marrow bone|cd16 blood
von blood factor activity willebrand|von willebrand factor activity blood|bleeding time blood
transitional epithelial urine cells|transional epitheliaclls urine|macrphageasctes
urine methadone, urine|methadone, urine urine|urine urine other crystals,
bicarbonate, pleural pleural|bicarbonate, pleural pleural|ld, bodies body fluid other body fluid
rea urineurine nitrogen,|urea nit nitroge, urin urne|lymphoyte,percent blood
troponin i bld|troponin i blood|albumin, pleural pleural
troponin sr bld t|troponin blood t|rystals amorphous urine
atypical lymphocytes pleural|lymphs% aticalymphocytes plural|anti-nuclear blood point in time antibody
o2 flow blood|o2 quantitative flow bld|bilirubin, indirect blood
cholesterol, ldl, measured blood|chlesterol, ldl, measu bloo|blood cd59
bicarbonate, pleural pleural|pleural bicarbonate, bicar pleural|urea nitrgen blood n2
polys ascites|polys quan ascites|basophils ascites
potassium, body fluid other body fluid|potassium, bdy flud othr quan body flui|urine fat bodies urine
